time	at	ch	cm
0	0	0	0
10	26	30	29
20	25	31	30
30	25	29	28
40	26	29	29
50	24	30	32
60	26	30	30
70	26	30	30
80	25	31	30
90	25	30	29
100	26	30	30
110	24	31	30
120	26	29	29
130	25	29	28
140	26	30	29
150	24	30	30
160	26	31	29
170	26	31	30
180	25	30	30
190	26	30	29
200	26	31	30
210	25	29	28
220	25	30	30
230	26	30	32
240	24	30	31
250	26	31	29
260	25	31	30
270	26	30	30
280	24	30	29
290	26	31	30
300	26	31	30
310	25	31	30
320	25	30	29
330	26	31	30
340	24	30	30
350	26	31	29
360	25	30	30
370	26	30	30
380	24	31	30
390	26	30	31
400	25	30	30
410	25	30	32
420	26	30	31
430	24	30	30
440	26	31	30
450	26	30	30
460	25	30	31
470	25	31	30
480	26	30	29
490	24	31	30
500	26	30	32
510	25	31	30
520	26	30	29
530	24	31	30
540	26	30	30
550	26	30	32
560	25	31	30
570	26	30	31
580	26	30	30
590	25	30	30
600	25	30	29
610	26	30	30
620	24	31	30
630	26	30	30
640	25	31	30
650	26	31	29
660	24	30	30
670	26	30	30
680	26	31	32
690	25	30	30
700	25	30	31
710	26	31	30
720	24	30	30
730	26	30	30
740	25	30	32
750	26	31	30
760	24	30	30
770	26	30	29
780	25	30	30
790	25	30	29
800	24	31	30
810	25	30	30
820	26	30	29
830	26	30	30
840	26	30	29
850	26	30	30
860	24	31	30
870	25	30	31
880	24	30	30
890	25	31	30
900	26	30	30
910	24	30	30
920	26	31	31
930	25	30	30
940	25	30	29
950	24	31	30
960	25	30	30
970	26	30	30
980	26	30	29
990	26	31	32
1000	26	30	30
1010	24	31	30
1020	25	30	30
1030	26	30	31
1040	24	31	32
1050	26	29	29
1060	26	31	31
1070	25	30	29
1080	24	30	29
1090	25	30	30
1100	26	31	30
1110	26	30	29
1120	26	30	30
1130	26	31	30
1140	24	30	29
1150	25	31	30
1160	25	30	31
1170	23	31	30
1180	23	30	30
1190	24	31	30
1200	23	30	32

