temp	Na	Det	N
10	8	8	0
20	8	8	0
30	8	8	0
40	8	8	0
50	8	8	0
60	8	8	0
70	8	8	0
80	8	8	0
90	8	8	0
100	8	8	0
110	8	8	0
120	8	8	0
130	8	8	0
140	8	8	0
150	8	8	0
160	8	8	0
170	8	8	0
180	8	8	0
190	8	8	0
200	8	8	0
210	8	8	0
220	8	8	0
230	8	8	0
240	8	8	0
250	8	8	0
260	8	8	0
270	8	8	0
280	8	8	0
290	8	8	0
300	8	8	0
310	8	8	0
320	8	8	0
330	8	8	0
340	8	8	0
350	8	8	0
360	8	8	0
370	8	8	0
380	8	8	0
390	8	8	0
400	8	8	0
410	8	8	0
420	8	8	0
430	8	8	0
440	8	8	0
450	8	8	0
460	8	8	0
470	8	8	0
480	8	8	0
490	8	8	0
500	8	8	0
510	8	8	0
520	8	8	0
530	8	8	0
540	8	8	0
550	8	8	0
560	8	8	0
570	8	7	1
580	8	8	0
590	8	8	0
600	8	8	0
610	8	8	0
620	8	7	1
630	8	8	0
640	8	8	0
650	8	8	0
660	8	8	0
670	8	8	0
680	8	8	0
690	8	8	0
700	8	8	0
710	8	8	0
720	8	8	0
730	8	8	0
740	8	8	0
750	8	8	0
760	8	8	0
770	8	8	0
780	8	7	1
790	8	8	0
800	8	8	0
810	8	8	0
820	8	8	0
830	8	8	0
840	8	8	0
850	8	8	0
860	8	8	0
870	8	8	0
880	8	8	0
890	8	8	0
900	8	8	0
910	8	8	0
920	8	8	0
930	8	8	0
940	8	8	0
950	8	8	0
960	8	8	0
970	8	8	0
980	8	7	1
990	8	8	0
1000	8	8	0
1010	8	6	2
1020	8	8	0
1030	8	8	0
1040	8	8	0
1050	8	7	1
1060	8	8	0
1070	8	8	0
1080	8	8	0
1090	8	8	0
1100	8	8	0
1110	8	8	0
1120	8	8	0
1130	8	8	0
1140	8	8	0
1150	8	7	1
1160	8	8	0
1170	8	8	0
1180	8	8	0
1190	8	8	0
1200	8	8	0

