time	at	ch	cm
0	0	0	0
10	23	24	26
20	23	24	24
30	22	25	25
40	22	26	26
50	22	24	24
60	23	24	24
70	21	24	26
80	22	24	24
90	23	24	24
100	22	25	25
110	22	26	26
120	23	25	24
130	22	25	25
140	21	25	24
150	22	25	24
160	21	24	24
170	21	24	24
180	22	25	25
190	23	26	26
200	22	24	25
210	22	24	24
220	23	25	25
230	22	24	24
240	23	25	24
250	21	26	25
260	22	26	26
270	22	24	24
280	23	25	25
290	22	26	25
300	21	25	25
310	23	24	24
320	22	24	26
330	23	24	24
340	22	24	24
350	23	24	24
360	22	24	26
370	23	24	24
380	22	24	24
390	22	25	26
400	22	26	26
410	21	26	26
420	22	24	26
430	21	25	25
440	21	26	26
450	22	25	25
460	22	24	24
470	21	24	26
480	22	25	25
490	23	26	25
500	22	24	26
510	22	25	25
520	21	25	26
530	22	25	25
540	21	24	24
550	23	24	26
560	22	24	24
570	22	24	24
580	21	25	26
590	22	24	24
600	21	24	24
610	23	24	24
620	22	25	25
630	22	24	26
640	23	24	24
650	22	24	26
660	22	24	24
670	21	25	26
680	22	26	26
690	21	26	26
700	23	24	24
710	21	25	24
720	21	26	27
730	22	25	25
740	22	26	24
750	22	24	24
760	22	25	26
770	21	26	26
780	23	24	24
790	22	25	25
800	22	24	24
810	21	24	24
820	23	25	25
830	22	24	24
840	21	24	24
850	22	24	24
860	22	24	23
870	21	25	25
880	22	26	26
890	21	26	26
900	22	24	24
910	21	25	25
920	22	26	25
930	22	25	25
940	22	24	24
950	22	24	24
960	22	25	25
970	21	26	26
980	22	24	24
990	23	24	24
1000	21	25	25
1010	22	26	24
1020	22	25	25
1030	23	24	24
1040	22	24	24
1050	21	24	24
1060	23	24	24
1070	22	25	25
1080	21	26	26
1090	21	26	24
1100	22	24	24
1110	22	25	25
1120	21	26	26
1130	22	25	25
1140	21	24	23
1150	21	25	24
1160	23	25	25
1170	23	26	26
1180	22	25	25
1190	21	24	26
1200	22	26	25

