temp	Na	Det	N
10	3	3	0
20	3	3	0
30	3	3	0
40	3	3	0
50	3	3	0
60	3	3	0
70	3	3	0
80	3	3	0
90	3	3	0
100	3	3	0
110	3	3	0
120	3	3	0
130	3	3	0
140	3	3	0
150	3	3	0
160	3	3	0
170	3	3	0
180	3	3	0
190	3	3	0
200	3	3	0
210	3	3	0
220	3	3	0
230	3	3	0
240	3	3	0
250	3	3	0
260	3	3	0
270	3	3	0
280	3	3	0
290	3	3	0
300	3	3	0
310	3	3	0
320	3	3	0
330	3	3	0
340	3	3	0
350	3	3	0
360	3	3	0
370	3	3	0
380	3	3	0
390	3	2	1
400	3	3	0
410	3	3	0
420	3	3	0
430	3	3	0
440	3	3	0
450	3	2	1
460	3	3	0
470	3	3	0
480	3	3	0
490	3	3	0
500	3	3	0
510	3	3	0
520	3	3	0
530	3	3	0
540	3	3	0
550	3	3	0
560	3	3	0
570	3	3	0
580	3	3	0
590	3	3	0
600	3	3	0
610	3	3	0
620	3	3	0
630	3	3	0
640	3	3	0
650	3	3	0
660	3	3	0
670	3	3	0
680	3	3	0
690	3	3	0
700	3	3	0
710	3	3	0
720	3	3	0
730	3	3	0
740	3	3	0
750	3	3	0
760	3	3	0
770	3	3	0
780	3	3	0
790	3	3	0
800	3	3	0
810	3	3	0
820	3	3	0
830	3	3	0
840	3	2	1
850	3	3	0
860	3	3	0
870	3	3	0
880	3	2	1
890	3	3	0
900	3	3	0
910	3	3	0
920	3	3	0
930	3	3	0
940	3	3	0
950	3	3	0
960	3	3	0
970	3	3	0
980	3	3	0
990	3	3	0
1000	3	3	0
1010	3	3	0
1020	3	3	0
1030	3	3	0
1040	3	3	0
1050	3	3	0
1060	3	3	0
1070	3	3	0
1080	3	3	0
1090	3	2	1
1100	3	3	0
1110	3	3	0
1120	3	3	0
1130	3	3	0
1140	3	3	0
1150	3	3	0
1160	3	3	0
1170	3	3	0
1180	3	3	0
1190	3	3	0
1200	3	3	0

