temp	Na	Det	N
10	4	4	0
20	4	4	0
30	4	4	0
40	4	4	0
50	4	4	0
60	4	4	0
70	4	4	0
80	4	4	0
90	4	4	0
100	4	4	0
110	4	4	0
120	4	4	0
130	4	4	0
140	4	4	0
150	4	4	0
160	4	4	0
170	4	4	0
180	4	4	0
190	4	4	0
200	4	4	0
210	4	4	0
220	4	4	0
230	4	4	0
240	4	4	0
250	4	4	0
260	4	4	0
270	4	4	0
280	4	4	0
290	4	4	0
300	4	4	0
310	4	4	0
320	4	4	0
330	4	4	0
340	4	4	0
350	4	4	0
360	4	4	0
370	4	4	0
380	4	4	0
390	4	4	0
400	4	4	0
410	4	4	0
420	4	4	0
430	4	4	0
440	4	4	0
450	4	4	0
460	4	4	0
470	4	4	0
480	4	4	0
490	4	4	0
500	4	4	0
510	4	4	0
520	4	4	0
530	4	4	0
540	4	4	0
550	4	4	0
560	4	4	0
570	4	4	0
580	4	4	0
590	4	4	0
600	4	4	0
610	4	4	0
620	4	4	0
630	4	4	0
640	4	4	0
650	4	3	1
660	4	4	0
670	4	4	0
680	4	4	0
690	4	4	0
700	4	4	0
710	4	4	0
720	4	4	0
730	4	4	0
740	4	4	0
750	4	4	0
760	4	4	0
770	4	4	0
780	4	4	0
790	4	4	0
800	4	4	0
810	4	4	0
820	4	4	0
830	4	4	0
840	4	4	0
850	4	4	0
860	4	4	0
870	4	4	0
880	4	4	0
890	4	4	0
900	4	4	0
910	4	4	0
920	4	4	0
930	4	4	0
940	4	4	0
950	4	4	0
960	4	4	0
970	4	4	0
980	4	4	0
990	4	4	0
1000	4	4	0
1010	4	4	0
1020	4	3	1
1030	4	4	0
1040	4	4	0
1050	4	4	0
1060	4	4	0
1070	4	4	0
1080	4	4	0
1090	4	3	1
1100	4	4	0
1110	4	4	0
1120	4	4	0
1130	4	4	0
1140	4	4	0
1150	4	4	0
1160	4	4	0
1170	4	4	0
1180	4	4	0
1190	4	4	0
1200	4	4	0

