time	at	ch	cm
10	15	21	20
20	15	21	20
30	15	21	20
40	15	21	20
50	15	21	20
60	15	21	20
70	15	21	20
80	14  20	19
90	15	21	20
100	15	21	20
110	15	21	20
120	15	21	20
130	15	21	20
140	15	21	20
150	15	21	20
160	15	21	20
170	15	21	20
180	14	20	19
190	15	21	20
200	15	21	20
210	15	21	20
220	15	21	20
230	15	21	20
240	15	21	20
250	15	21	20
260	15	21	20
270	15	21	20
280	15	21	20
290	15	21	20
300	15	21	20
310	14	20	19
320	15	21	20
330	15	21	20
340	15	21	20
350	15	21	20
360	15	21	20
370	14	20	19
380	15	21	20
390	15	21	20
400	15	21	20
410	15	21	20
420	15	21	20
430	15	21	20
440	15	21	20
450	15	21	20
460	15	21	20
470	15	21	20
480	15	21	20
490	15	21	20
500	14	20	19
510	15	21	20
520	15	21	20
530	15	21	20
540	15	21	20
550	15	21	20
560	14	20	19
570	15	21	20
580	15	21	20
590	15	21	20
600	15	21	20
610	15	21	20
620	15	21	20
630	15	21	20
640	15	21	20
650	15	21	20
660	15	21	20
670	15	21	20
680	15	21	20
690	16	20	19
700	15	21	20
710	15	21	20
720	15	21	20
730	15	21	20
740	15	21	20
750	15	21	20
760	15	21	20
770	15	21	20
780	15	21	20
790	15	21	20
800	15	21	20
810	15	21	20
820	15	21	20
830	15	21	20
840	15	21	20
850	15	21	20
860	15	21	20
870	15	21	20
880	15	21	20
890	15	21	20
900	15	21	20
910	15	21	20
920	15	21	20
930	15	21	20
940	15	21	20
950	15	21	20
960	15	21	20
970	15	21	20
980	15	21	20
990	15	21	20
1000	14	20	19
1010	15	21	20
1020	15	21	20
1030	14	20	19
1040	15	21	20
1050	15	21	20
1060	14	20	19
1070	15	21	20
1080	15	21	20
1090	14	20	19
1100	15	21	20
1110	15	21	20
1120	16	20	19
1130	15	21	20
1140	15	21	20
1150	15	21	20
1160	13	20	19
1170	15	21	20
1180	13	20	19
1190	15	21	20
1200	15	21	20

