time	at	ch	cm
10	20	40	40
20	21	40	40
30	20	40	39
40	21	40	40
50	18	40	40
60	19	40	40
70	22	40	40
80	23	40	39
90	20	40	40
100	20	40	40
110	21	40	40
120	20	40	40
130	21	40	40
140	18	40	40
150	19	40	40
160	22	40	40
170	20	40	38
180	21	40	40
190	20	40	40
200	21	40	40
210	18	40	40
220	19	40	38
230	22	40	40
240	23	40	40
250	20	40	40
260	20	40	40
270	21	40	40
280	20	40	40
290	21	40	40
300	18	40	40
310	19	40	40
320	22	40	40
330	23	40	40
340	20	40	40
350	20	40	39
360	21	40	40
370	20	40	40
380	21	40	40
390	18	40	40
400	19	40	40
410	22	40	40
420	20	40	40
430	21	40	40
440	18	40	40
450	19	40	40
460	22	40	39
470	23	40	40
480	20	40	40
490	20	40	40
500	21	40	40
510	20	40	40
520	21	40	40
530	18	40	40
540	19	40	40
550	22	40	40
560	23	40	38
570	20	40	40
580	20	40	40
590	21	40	40
600	20	40	40
610	21	40	38
620	18	40	40
630	19	40	40
640	22	40	40
650	22	40	40
660	20	40	40
670	20	40	40
680	21	40	40
690	18	40	40
700	19	40	39
710	22	40	40
720	23	40	40
730	20	40	40
740	20	40	40
750	21	40	40
760	20	40	40
770	21	40	40
780	18	40	40
790	19	40	40
800	22	40	40
810	23	40	39
820	20	40	40
830	20	40	40
840	21	40	40
850	20	40	40
860	21	40	39
870	18	40	40
880	19	40	40
890	22	40	40
900	22	40	40
910	20	40	40
920	17	40	40
930	20	40	40
940	21	40	40
950	20	40	40
960	21	40	39
970	18	40	40
980	19	40	40
990	22	40	40
1000	23	40	40
1010	20	40	40
1020	20	40	40
1030	21	40	39
1040	20	40	40
1050	21	40	40
1060	18	40	40
1070	19	40	40
1080	22	40	40
1090	23	40	40
1100	20	40	40
1110	20	40	40
1120	21	40	40
1130	20	40	40
1140	21	40	40
1150	18	40	40
1160	19	40	39
1170	22	40	40
1180	22	40	40
1190	20	40	40
1200	17	40	39

