time	adap	cth	mk	it	sd	qosb	ei	ae	re	uc	ln	dv	amp	ch	ir	1h	2h	3h	4h
10 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 54 	 18  126 0	 0 	 4 	     70.178499   0.6762      14 	 0 	 26 	 28 	 0 	 0
20 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 108 	 5 	 20  9 	 5 	 9 	     0.15891 	 0.53508 	 16 	 0 	 25 	 29 	 0 	 0
30 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 162 	 3 	 7 	 5 	 7 	 10 	 0.118455 	 0.362309 	 15 	 0 	 25 	 29 	 0 	 0
40 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 216 	 2 	 7 	 0 	 7 	 10 	 0.118949 	 0.362247 	 15 	 0 	 25 	 29 	 0 	 0
50 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 270 	 0 	 2 	 0 	 7 	 10 	 0.1195 	 0.362223 	 15 	 0 	 25 	 29 	 0 	 0
60 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 282 	 0 	 0 	 0 	 7 	 10 	 0.11924 	 0.361626 	 15 	 0 	 25 	 29 	 0 	 0
70 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 324 	 0 	 0 	 0 	 7 	 10 	 0.11936 	 0.362595 	 15 	 0 	 25 	 29 	 0 	 0
80 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 378 	 1 	 1 	 0 	 7 	 10 	 0.119471 	 0.363613 	 15 	 0 	 25 	 29 	 0 	 0
90 	     "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 432 	 0 	 1 	 0 	 7 	 10 	 0.11938 	 0.363983 	 15 	 0 	 25 	 29 	 0 	 0
100 	 "p0" 	 "p0.5" 	 "p1" 	 "p12" 	 10 	 486 	 0 	 0 	 0 	 7 	 10 	 0.119112 	 0.363629 	 15 	 0 	 25 	 29 	 0 	 0
