a_n_2	a_n_5	a_n_10
0.99	0.79	0.79
0.97	0.85	0.82
0.98	0.98	0.98
0.87	0.87	0.87
0.86	0.89	0.86
0.96	0.86	0.89
0.99	0.99	0.99
0.96	0.88	0.81
0.96	0.87	0.87
0.87	0.87	0.87
0.89	0.89	0.89
0.89	0.89	0.89
0.88	0.88	0.88
0.98	0.72	0.97
0.93	0.92	0.87
0.86	0.86	0.86
0.86	0.86	0.86
0.99	0.99	0.99
0.88	0.85	0.88
0.87	0.89	0.87
0.85	0.85	0.85
0.85	0.85	0.85
0.98	0.95	0.93
0.87	0.87	0.87
0.86	0.86	0.86
0.86	0.86	0.86
0.99	0.99	0.99
0.88	0.92	0.88
0.87	0.87	0.87
0.82	0.87	0.87
0.89	0.89	0.89
0.91	0.89	0.89
0.71	0.88	0.88
0.98	0.92	0.98
0.94	0.85	0.88

