total_detc1	total_detc2	total_detc3
99.00	99.99	88.00
100	90.00	100
100	100	98.99
99.91	100	100
100	100	100
99.00	100	97.00
97.00	99.00	97.00
100	100	99.99
100	100	100
99.00	97	98.99
95.00	98.99	99.94
100	90	99.99
100	100	98.00
90.00	100	99.92
100	90.00	99.99
100	100	98.00
100	98.99	98.99
95	100	100
98.99	99.98	90.00
100	100	100
100	99.98	98.00
100	99.15	98.14
99.00	100	99.10
100	100	98.00
99.99	97.98	98.00
99.99	98.00	100
100	98.00	98.89
100	98.99	99.10
100	99.99	100
99.99	100	99.00
87.00	98.00	98.21
100	100	98.99
100	99.00	99.14
99.99	100	99.10
90.00	98.00	95.00

