precision	recal
0.981	0.8497410242
0.979	0.8233809924
0.976	0.8229342327
0.979	0.8274999569
0.976	0.8370497427
0.975	0.8355334343
0.98	0.875
0.981	0.8523023458
0.979	0.8204237998
0.98	0.8290747302
0.977	0.8444252377
0.978	0.8133125149
0.978	0.8302207131
0.977	0.8230834035
0.974	0.8157453936
0.978	0.816360601
0.976	0.8299319728
0.976	0.8229196602
0.974	0.8296422487
0.976	0.8356603823
0.974	0.8296422487
0.974	0.8226205433
0.971	0.8221845893
0.976	0.8370497427
0.972	0.8364888124
0.974	0.8296422487
0.976	0.8214501917
0.972	0.8364888124
0.976	0.8229342327
0.974	0.8226351351
0.973	0.821013066
0.974	0.802306425
0.976	0.8370497427
0.976	0.8299319728
0.974	0.822605949
