f_s2	f_s5	f_s10	f_s15	f_s20
0.7344444643	0.826031476	0.8443282658	0.8824758443	0.8947657844
0.7682419953	0.8112411492	0.8358104699	0.8869247695	0.9035833617
0.7115666179	0.7967479675	0.8579017264	0.8875131992	0.901854406
0.7008300253	0.8112180829	0.8596491228	0.8902513795	0.9023820645
0.7008300253	0.7913434055	0.8493631972	0.8902513795	0.8940305414
0.7220877051	0.7838223891	0.8412514484	0.8841615791	0.894690704
0.7235621521	0.8185654008	0.8342061841	0.878867278	0.9009920249
0.7012987013	0.8255319149	0.8508120629	0.8901582225	0.8976666937
0.7437763309	0.8117154812	0.8536155203	0.8929889299	0.9018691589
0.7330316742	0.8180528808	0.8584109994	0.8861356942	0.9016301302
0.7115666179	0.7978592013	0.8547264558	0.8875305623	0.896056488
0.7012987013	0.8049792531	0.852981581	0.8816289318	0.9023746879
0.7221396731	0.804483188	0.8604520829	0.8805238804	0.9025146729
0.7558320373	0.7973640857	0.8487220815	0.8821385176	0.9044367501
0.7216454984	0.7892864202	0.8573959256	0.8832951945	0.9071224348
0.7115666179	0.804483188	0.8523267282	0.8810094607	0.9030276437
0.7012987013	0.7918367347	0.8459554478	0.8789577337	0.8932081803
0.6908573461	0.793314309	0.8584070796	0.8870203333	0.9097744361
0.7330316742	0.7791164659	0.8606340078	0.8847105317	0.9020562107
0.7230883445	0.7923296614	0.8617163184	0.886509636	0.9019504196
0.7115666179	0.7786259542	0.8590263692	0.8837437923	0.8998533138
0.7012987013	0.7769862836	0.859181751	0.881450582	0.902105661
0.7424198003	0.7597943201	0.852085785	0.8844512432	0.9028145029
0.7553481136	0.7967479675	0.8595324083	0.8868751269	0.8958104312
0.7221203574	0.7650878381	0.8590263692	0.8788551032	0.9008792966
0.7008300253	0.7791164659	0.8584070796	0.8789577337	0.9097744361
0.7012987013	0.7913434055	0.8617163184	0.881450582	0.9031740424
0.7012987013	0.766798419	0.8579427515	0.8816289318	0.902843764
0.7115666179	0.7908496732	0.854120758	0.8848263254	0.898206226
0.7221396731	0.7781350482	0.8606340078	0.8847818214	0.9026618691
0.7110948371	0.7729083665	0.8567635344	0.8858191549	0.9058516904
0.7221396731	0.7796065837	0.852465025	0.8806784814	0.9037604918
0.7017670393	0.7913434055	0.8618455222	0.8862049447	0.9037285213
0.7923141433	0.7942973523	0.8488192655	0.8902513795	0.897485874
0.7008300253	0.784	0.8417547416	0.868721822	0.8890067845
