chur	sensi
0.9106650627	0.9418493804
0.8944723618	0.8994997726
0.8929551693	0.8993996725
0.8968972899	0.9035588652
0.9012003693	0.9278295249
0.8998951171	0.9037309995
0.9245283019	0.9042357274
0.9121338912	0.9089227924
0.8927245489	0.8969917958
0.8982417609	0.9016018307
0.9058878071	0.90625
0.8880858398	0.8944268237
0.8980716253	0.9031078611
0.8934613626	0.8994997726
0.8878760255	0.9252336449
0.889899909	0.8959276018
0.8970588235	0.9036089539
0.8929465902	0.8954815153
0.8960441582	0.9212007505
0.9003945122	0.9047399908
0.8960441582	0.9010989011
0.8919328148	0.8974943052
0.8904172398	0.897996357
0.9012003693	0.9067524116
0.8991674376	0.9031078611
0.8960441582	0.9036089539
0.8920807829	0.9333585048
0.8991674376	0.9077057231
0.8929551693	0.88739345
0.8919413919	0.8946153952
0.890568445	0.8959854015
0.8798554652	0.8843904633
0.9012003693	0.9044453522
0.8970588235	0.90260631
0.8919242361	0.9104339797
