f_s2	f_s5	f_s10	f_s15	f_s20
0.7217572568	0.762590761	0.8597066719	0.8732030459	0.8916954482
0.7005724061	0.7571900194	0.8369576977	0.8643936406	0.8831089351
0.7014917795	0.7638223419	0.8536155203	0.8666356018	0.8739957991
0.7087721393	0.7505583508	0.8617434758	0.8675768895	0.8806028978
0.7227106104	0.774418839	0.8456067403	0.8628964832	0.8775657624
0.7232059646	0.7650661925	0.8456067403	0.8761497376	0.8767861839
0.7207952483	0.7599254975	0.8444167781	0.8703419999	0.8735502707
0.6259067502	0.7521011543	0.8631984586	0.8653776966	0.8811717969
0.6917154528	0.7650661925	0.8617434758	0.8674832304	0.8820202552
0.7102886925	0.7685894397	0.8542663101	0.8592152131	0.8867269773
0.7226914025	0.7625496148	0.8606464329	0.8709943351	0.8910567915
0.694076112	0.8257899231	0.8326988004	0.8690697606	0.8895088088
0.7132352941	0.7628644171	0.8456067403	0.8677964841	0.8898160145
0.7030654816	0.7503163756	0.8456067403	0.8717033279	0.8830486202
0.6763981602	0.759908176	0.8369576977	0.867342622	0.8922093982
0.6940966011	0.7673870223	0.8456067403	0.8700036959	0.8966480447
0.7107616943	0.7673697994	0.8444047742	0.8584738935	0.8841332926
0.7082204155	0.7611237832	0.8536155203	0.8739398672	0.8894864959
0.7098352816	0.7638396216	0.8617219405	0.8738462823	0.9015750809
0.7122884474	0.7589522221	0.8456067403	0.875638789	0.8926244239
0.7112543051	0.7645779798	0.8416221346	0.870191497	0.876268272
0.7015121631	0.7690955712	0.8445965876	0.8675768895	0.8957975882
0.7030654816	0.7712665406	0.8495963978	0.8614028365	0.8831675611
0.7222149091	0.7447359896	0.8536155203	0.8721554518	0.8767784341
0.711794851	0.753391037	0.8553962536	0.8546411544	0.874871747
0.7005520351	0.7645779798	0.8595519588	0.8697606058	0.8853526195
0.7013477623	0.7594390507	0.8432059784	0.8653522744	0.8853566574
0.7115333818	0.7599254975	0.8444047742	0.8776123016	0.8943679101
0.673823808	0.7576939954	0.8455949421	0.8734240789	0.8780492645
0.6969077974	0.7824593311	0.8495963978	0.8652560443	0.8766449128
0.6976696661	0.7652339742	0.8595519588	0.8597762094	0.8682661838
0.6738023152	0.7599254975	0.8456067403	0.8636568325	0.8904299584
0.7207952483	0.7746843237	0.8606573906	0.8633791257	0.8908584953
0.7020919224	0.7593554315	0.8576644355	0.8649203898	0.884320703
0.7024743512	0.7690381807	0.8585404703	0.8721866622	0.8917036099
