precison	recal
0.988	0.8998178506
0.989	0.824854045
0.9888	0.8248248248
0.9889	0.8317772731
0.989	0.8737851824
0.981	0.8377455167
0.982	0.837883959
0.983	0.845227859
0.984	0.824120603
0.985	0.8312236287
0.986	0.8384353741
0.987	0.8177299089
0.988	0.8316498316
0.989	0.824854045
0.99	0.8684210526
0.99	0.8181818182
0.989	0.8303805413
0.981	0.8236775819
0.982	0.8674911661
0.983	0.8380221654
0.984	0.8310810811
0.985	0.8242677824
0.986	0.8199619348
0.987	0.8385726423
0.988	0.8316498316
0.989	0.8317914214
0.9888	0.8838040758
0.9889	0.8388328102
0.989	0.804719284
0.981	0.8222131918
0.982	0.8238255034
0.983	0.8037612428
0.984	0.8367921935
0.987	0.8315080034
0.986	0.8443095127
