f_n_2	f_n_5	f_n_10	f_n_15	f_n_20
1.7	1.9	3.1	3.2	3.6
1.4	2.1	3.1	3.2	3.4
1.9	2.4	2.9	3.2	3.5
2.0	2.1	3.0	3.1	3.5
2.0	2.4	3.1	3.1	3.9
1.8	2.5	3.2	3.2	3.8
1.8	2.0	3.4	3.4	3.4
2.0	1.9	3.0	3.1	3.7
1.6	2.1	3.0	3.0	3.5
1.7	2.0	2.8	3.2	3.5
1.9	2.3	3.1	3.2	3.8
2.0	2.2	3.0	3.4	3.5
1.8	2.2	2.8	3.4	3.4
1.5	2.3	3.0	3.4	3.4
1.8	2.4	2.9	3.3	3.3
1.9	2.2	3.0	3.4	3.4
2.0	2.4	3.2	3.5	3.9
2.1	2.4	2.9	3.2	3.2
1.7	2.6	2.8	3.3	3.5
1.8	2.4	2.8	3.2	3.4
1.9	2.6	2.8	3.3	3.5
2.0	2.6	2.8	3.4	3.4
1.6	2.9	3.0	3.3	3.4
1.5	2.4	2.8	3.2	3.6
1.8	2.8	2.8	3.5	3.5
2.0	2.6	2.9	3.5	3.2
2.0	2.4	2.8	3.4	3.4
2.0	2.8	2.9	3.4	3.4
1.9	2.4	3.0	3.3	3.5
1.8	2.6	2.8	3.3	3.5
1.9	2.7	2.8	3.2	3.3
1.8	2.6	3.0	3.4	3.4
2.0	2.4	2.8	3.2	3.4
1.2	2.4	3.1	3.1	3.7
2.0	2.6	3.2	3.5	3.8
