f_p_2	f_p_5	f_p_10	f_p_15	f_p_20
2.5	2.9	3.1	3.3	3.2
2.7	2.8	3.2	3.3	3.5
2.8	2.0	3.1	3.2	3.5
2.9	3.1	2.0	3.2	3.4
2.9	3.1	3.3	3.2	3.4
2.4	3.0	3.2	3.2	3.2
2.5	3.0	3.1	3.1	3.5
2.8	3.0	3.3	3.2	3.5
2.9	3.0	3.2	3.2	3.5
2.8	3.1	3.1	3.3	3.4
2.8	3.1	2.0	3.2	3.4
2.8	3.0	3.1	3.3	3.4
2.8	3.1	2.0	3.3	3.5
2.8	3.2	3.0	3.2	3.4
2.9	3.2	3.2	3.5	3.3
2.8	3.1	3.0	3.4	3.4
2.8	3.0	3.0	3.3	3.4
2.9	2.7	3.0	3.3	3.2
2.8	3.0	3.1	3.2	3.4
2.6	2.9	3.1	3.4	3.5
2.8	3.1	3.2	3.3	3.6
2.8	3.1	3.2	3.2	3.6
2.8	3.2	3.3	3.2	3.6
2.9	2.0	3.1	3.2	3.5
2.8	3.0	3.2	3.3	3.4
2.9	3.0	3.0	3.3	3.2
2.8	3.1	3.1	3.2	3.5
2.8	3.0	3.0	3.3	3.6
2.8	3.2	3.1	3.2	3.5
2.8	3.2	3.1	3.2	3.2
2.9	3.0	3.2	3.4	3.3
2.8	2.9	3.2	3.1	3.4
2.7	3.1	3.0	3.4	3.5
2.9	2.5	3.2	3.2	3.4
2.9	2.0	3.1	3.3	3.5
