time	at	ch	cm
0	0	0	0
10	16	20	18
20	16	20	19
30	15	21	20
40	16	20	20
50	16	20	19
60	15	20	20
70	15	20	19
80	16	20	20
90	16	20	21
100	15	20	20
110	16	20	20
120	16	19	19
130	15	20	21
140	15	20	20
150	16	20	20
160	15	19	19
170	16	20	20
180	16	20	21
190	16	20	19
200	15	20	20
210	16	20	20
220	15	21	20
230	16	20	20
240	16	21	21
250	14	20	20
260	15	20	20
270	16	20	22
280	15	20	20
290	16	20	21
300	16	21	19
310	15	20	20
320	15	20	21
330	16	20	19
340	16	20	19
350	15	20	21
360	16	21	21
370	15	20	20
380	16	20	20
390	16	20	19
400	14	20	20
410	15	20	20
420	16	21	20
430	15	20	20
440	16	20	19
450	16	20	20
460	15	21	21
470	15	20	20
480	16	20	19
490	16	20	20
500	15	20	20
510	16	20	20
520	15	20	19
530	16	20	20
540	16	21	20
550	14	20	20
560	15	20	19
570	16	20	18
580	15	20	20
590	16	20	20
600	16	20	20
610	15	20	19
620	15	21	20
630	16	20	20
640	15	20	19
650	16	20	20
660	16	20	19
670	14	20	20
680	15	20	19
690	16	20	20
700	15	20	20
710	16	20	19
720	16	20	20
730	15	20	21
740	15	20	19
750	16	21	21
760	15	20	20
770	16	20	21
780	16	20	20
790	14	20	19
800	15	20	20
810	16	21	20
820	15	20	21
830	16	20	19
840	16	20	20
850	15	22	20
860	15	20	18
870	16	20	19
880	15	20	20
890	16	20	20
900	16	20	20
910	14	20	20
920	15	20	21
930	16	20	20
940	15	20	20
950	16	20	21
960	16	20	20
970	15	22	21
980	15	20	20
990	16	20	21
1000	15	20	20
1010	16	22	20
1020	16	20	22
1030	14	22	21
1040	15	20	20
1050	16	20	21
1060	15	20	20
1070	16	20	20
1080	16	20	20
1090	15	20	19
1100	15	22	20
1110	16	20	20
1120	15	18	19
1130	15	18	20
1140	15	21	22
1150	16	21	20
1160	15	20	20
1170	16	21	21
1180	15	20	20
1190	16	20	21
1200	14	20	22
