time	at	ch	cm
0	0	0	0
10	33	35	34
20	33	35	35
30	34	35	34
40	34	36	36
50	34	37	36
60	34	37	37
70	35	37	37
80	36	37	37
90	35	35	35
100	34	35	35
110	35	35	35
120	34	36	36
130	35	37	37
140	34	37	37
150	33	37	37
160	33	37	37
170	34	35	35
180	34	36	36
190	34	37	37
200	34	37	37
210	35	37	37
220	36	37	37
230	35	35	35
240	34	35	35
250	35	35	35
260	34	36	36
270	35	37	36
280	34	37	36
290	35	35	35
300	34	35	34
310	35	35	35
320	34	36	36
330	33	37	37
340	33	37	37
350	34	37	37
360	34	37	37
370	34	35	35
380	34	35	35
390	35	35	34
400	36	36	36
410	35	37	37
420	34	37	37
430	35	37	36
440	34	37	37
450	35	35	35
460	34	36	35
470	33	37	37
480	33	37	36
490	34	37	37
500	34	37	36
510	34	35	35
520	34	35	34
530	35	35	35
540	36	36	36
550	35	37	36
560	34	37	37
570	35	35	34
580	34	35	35
590	35	35	34
600	34	36	36
610	33	37	37
620	33	37	37
630	34	37	37
640	34	37	37
650	34	35	35
660	34	35	34
670	35	35	35
680	36	36	36
690	35	37	36
700	35	37	36
710	35	37	37
720	34	37	36
730	35	35	35
740	34	36	36
750	33	37	37
760	33	37	37
770	34	37	37
780	34	37	37
790	34	35	35
800	35	35	35
810	35	35	35
820	36	36	36
830	35	35	35
840	34	35	35
850	35	36	36
860	35	37	37
870	35	37	37
880	34	35	35
890	33	36	36
900	33	36	36
910	34	37	37
920	34	35	35
930	34	36	36
940	34	37	37
950	35	37	37
960	36	37	37
970	35	37	37
980	34	35	35
990	35	35	35
1000	34	35	35
1010	35	36	36
1020	34	37	37
1030	33	37	37
1040	33	35	35
1050	34	35	35
1060	34	35	35
1070	34	36	36
1080	34	36	36
1090	35	36	36
1100	36	36	36
1110	35	36	36
1120	34	36	36
1130	35	37	36
1140	34	35	35
1150	35	36	36
1160	34	37	36
1170	35	37	37
1180	34	37	36
1190	34	37	37
1200	35	35	35
