a_n_2	a_n_5	a_n_10	a_n_15	a_n_20
94.21	93.02	85.01	82.74	86.33
94.02	94.80	94.70	88.81	92.49
93.81	94.10	94.00	92.31	91.00
96.10	94.90	94.70	94.39	87.75
93.02	95.00	94.60	90.69	93.41
92.24	93.21	91.63	91.83	86.59
96.00	93.12	91.93	91.83	91.13
95.99	94.99	94.99	87.03	84.89
86.21	90.05	95.00	85.19	81.25
93.23	92.91	94.10	89.69	91.23
95.22	94.02	94.94	88.13	90.26
95.00	95.19	94.89	94.29	89.35
96.20	95.10	94.22	91.58	89.15
96.62	95.02	94.92	84.76	90.13
92.12	94.89	94.89	85.30	89.65
96.30	93.02	93.02	83.77	86.29
92.23	94.20	93.80	86.38	90.44
96.00	95.00	95.10	89.55	90.89
95.10	94.99	85.21	87.24	84.01
95.40	94.80	95.10	86.48	84.21
95.30	95.90	93.02	91.69	85.79
96.20	95.00	93.16	92.62	79.08
96.10	94.01	93.81	83.87	81.25
93.92	94.06	93.12	91.88	82.84
95.10	89.15	93.02	89.65	89.80
93.12	94.79	95.10	86.79	91.63
95.11	92.92	94.00	90.44	83.34
95.21	95.20	94.21	87.66	86.09
94.81	95.21	94.90	86.59	84.11
94.12	95.00	94.11	91.53	82.92
96.00	94.80	93.23	90.64	82.64
91.25	92.72	93.80	91.53	84.31
94.02	92.13	94.35	86.49	85.20
94.06	93.02	93.81	87.56	90.75
91.93	85.01	90.05	85.69	88.85
