total_detc1	total_detc2	total_detc3	total_detc4	total_detc5
97.99	98.00	90.00	88.00	92.25
98.00	100	100	94.25	98.47
97.99	98.99	98.99	97.89	96.97
100	100	100	99.89	93.58
96.99	100	100	96.25	99.00
96.00	97.99	97.00	97.00	92.21
100	98.00	97.00	97.00	97.00
99.99	99.99	99.99	92.25	90.89
90.00	95.00	100	90.28	87.00
97.00	97.99	98.99	95.14	97.20
99.11	99.11	99.94	93.26	96.52
98.99	99.99	99.99	99.99	95.20
100	100	98.00	97.25	95.00
99.92	99.92	99.92	90.25	95.89
96.99	99.99	99.99	91.00	95.20
100	98.00	98.00	89.25	92.00
95.99	98.99	98.99	91.99	96.20
100	100	100	95.00	96.25
98.99	99.99	90.00	92.36	90.00
100	100	100	91.99	90.00
98.99	100	98.00	97.26	92.00
100	100	98.14	98.20	85.00
100	99.10	99.10	89.25	87.00
98.00	99.15	98.00	97.25	88.41
98.99	93.99	98.00	95.00	95.25
96.99	99.99	100	92.00	97.00
99.00	98.00	98.89	96.00	89.12
99.00	100	99.10	93.29	92.00
99	99.00	100	92.00	90.00
98.00	100	99.00	97.00	89.00
100	100	98.21	96.00	88.00
95	98	98.99	97.00	90.00
98.00	97	99.14	92.00	91.00
98.14	98.00	99.10	92.78	96.21
95.99	90.00	95.00	90.89	95.00
