total_detc1	total_detc2	total_detc3	total_detc4	total_detc5
99.00	92.99	99.00	90.21	82.25
100	99.99	100	85.28	78.00
98.99	100	100	87.24	70.00
100	100	99.91	80.00	82.93
99.99	100	100	79.90	83.00
95.00	99.00	99.00	90.28	90.00
100	100	97.00	85.14	81.00
99.99	100	100	87.19	82.36
98.00	100	100	85.99	89.00
98.99	99.00	99.00	90.28	85.00
100	97.00	95.00	78.99	95.00
99.99	100	100	79.47	87.00
100	100	100	80.14	82.00
100	100	90.00	81.25	78.00
99.99	95.00	100	89.21	75.00
100	100	100	85.24	85.00
98.99	100	100	82.89	79.00
100	100	95	83.89	74.00
99.99	98.99	98.99	85.24	75.00
100	100	100	82.45	78.00
97	100	100	84.98	75.00
100	100	100	83.00	89.00
99.99	99.00	99.00	88.98	82.00
100	100	100	79.29	90.00
99.99	99.99	99.99	78.89	86.00
97.00	99.99	99.99	81.81	89.00
100	100	100	89.90	82.00
100	100	100	87.58	89.00
90.00	100	100	89.25	79.00
100	99.99	99.99	88.23	87.00
96	100	87.00	82.50	85.00
100	100	100	85.29	79.00
100	100	100	87.29	72.00
100	99.99	99.99	86.59	75.00
97.00	90.00	90.00	82.36	78.00
