total_detc1	total_detc2	total_detc3	total_detec4
99.00	99.99	90.00	95
98.00	90.00	100	89
92.00	100	98.99	100
99.91	100	100	100
97.00	100	100	100
99.00	100	97.00	96
97.00	99.00	97.00	96.00
93.00	100	99.99	98
95.00	100	100	100
99.00	97	98.99	97
95.00	98.99	99.94	99
100	90	99.99	99
90.00	100	98.00	94
90.00	100	99.92	95
100	90.00	99.99	100
100	100	98.00	98.00
100	98.99	98.99	98.99
95	100	100	100
98.99	99.98	90.00	99
100	100	100	100
95.00	99.98	98.00	98.00
93.00	99.15	98.14	98.14
99.00	100	99.10	99.10
92.00	100	98.00	98.00
99.99	97.98	98.00	98.00
99.99	98.00	100	100
94.00	98.00	98.89	100
100	98.99	99.10	99.58
100	99.99	100	100
99.99	100	99.00	99.00
87.00	98.00	98.21	96
99.99	100	98.99	98.99
100	99.00	99.14	99.65
92.00	100	99.10	99.10
90.00	98.00	95.00	96.00
